"id","source","source_type","priority","landing_url","region_category_fit","submission_or_correction_channel","channel_url","evidence_level","status","observed_formula_nap","evidence_note","next_action","checked_at","acquired_in_this_run"
"C01","Google Business Profile / Google Maps","business_profile","P0","https://support.google.com/business/answer/2911778?hl=uk","Local in-person and service-area business; Formula website links its Google Maps listing","Manage existing claimed profile; verification or ownership request only if required","https://business.google.com/add","official_help_and_first_party_website","EXISTING_PROFILE_OWNER_AUDIT","Not reverified in Google owner UI","Official Google help confirms add/claim workflow; Formula /kontakty links existing Maps profile; current Google NAP not inferred from website","Open existing owner profile; verify NAP/category/service area/photos and retain receipt; do not create duplicate","2026-09-14","false"
"C02","Top20","local_directory","P0","https://top20.ua/ck/dim-i-pobut/pribirannya-klining/formula-chistotyi-kliningovaya-kompaniya.html","Cherkasy; cleaning and dry-cleaning services","Керувати сторінкою via listed email/phone verification; Запропонувати зміни on profile","https://top20.ua/ck/dim-i-pobut/pribirannya-klining/formula-chistotyi-kliningovaya-kompaniya.html","web_open_primary","EXISTING_ADDRESS_MATCH","Формула Чистоти, клінінг; Черкаси, вулиця Надпільна, 220/2; phone 097 809 5800 in indexed profile","Profile content shows updated address and edit/claim controls; this run did not make the correction","Reconcile old correction_required register status; verify remaining profile fields in owner UI before any change","2026-09-14","false"
"C03","Misto","local_directory","P0","https://misto.biz.ua/cherkasy/company/formula-chystoty-klining/","Cherkasy; Хімчистки; existing Formula profile","Correction request form is evidenced in Misto profile template; target profile form needs live recheck; add form verified but not for duplicate creation","https://misto.biz.ua/add/","indexed_primary_target_and_open_primary_platform","EXISTING_CORRECTION_NEEDED_CHANNEL_PARTIAL","Формула Чистоти-клінінг; Черкаси, вул. Дахнівська, 32/3; +380 97 809 5800; formula-chistoty@ukr.net; daily 09:00-21:00","Target indexed source crawled about 2 months ago; direct target fetch cache miss; /add form opens; corrections heading/form found on other Cherkasy profiles","Reopen target profile and use its correction channel for existing record; update address only; retain receipt; no duplicate submission","2026-09-14","false"
"C04","MultiShop","existing_aggregator_profile","P0","https://multishop.stream/card/174975","Existing Cherkasy Formula profile; cleaning/dry cleaning/windows","Редагувати це місце on card; displayed manual review fee 200 UAH; feedback link also present","https://multishop.stream/card/174975","web_open_primary","EXISTING_CORRECTION_NEEDED_PAID_WORKFLOW","Формула Чистоти-клінінг; Дахнівська, 32/3, Черкаси, 18006; +380 97 809 5800; formula-chistoty@ukr.net; http://formula-chistoty.ck.ua/; daily 09:00-21:00","Exact card discovered by search category Хімчистка page=18 then real profile link; open extraction reports older crawl; fee is displayed text not an accepted price quote","Recheck current card; assess correction via support or owner edit; approve any actual charge separately; update address and HTTPS www URL; never remove Google profile to influence scraper","2026-09-14","false"
"C05","City-CK","local_directory","P1","https://city-ck.com/ua/catalog/category/klining/","Dedicated Cherkasy cleaning services/equipment category","Додати підприємство form","https://city-ck.com/ua/add-enterprise.html","web_open_primary","PROSPECT_DUPLICATE_CHECK_REQUIRED","","Category and submission form opened; accepts local enterprises with contacts and business description","Search Formula variants and phone inside directory; if absent prepare one company profile in cleaning category","2026-09-14","false"
"C06","Locator","local_directory","P1","https://ck.locator.ua/cherkasy/klininhovi-kompanii/","Dedicated Cherkasy cleaning category and furniture/carpet cleaning links","Додати організацію; account registration/login; published adding rules/help","https://ck.locator.ua/cherkasy/klininhovi-kompanii/","web_open_primary","PROSPECT_DUPLICATE_CHECK_REQUIRED","","Category opens and exposes add/register/help links; final add/help destination failed in web extraction","Search brand/phone; follow Add organization from observed category; confirm form and current terms before submission","2026-09-14","false"
"C07","List.in.ua","local_directory","P1","https://list.in.ua/Черкаси/Клінінг","Dedicated Cherkasy cleaning category; indexed 23 entries","Додати підприємство from category; regional order form is platform pattern but Cherkasy form URL not independently resolved","https://list.in.ua/Черкаси/Клінінг","indexed_primary","PROSPECT_RECHECK_ACCESS_AND_DUPLICATES","","Primary category indexed content identifies Cherkasy cleaning and Add business; direct fetch cache miss","Open category in normal browser; verify Cherkasy add form and duplicates; prepare one profile if eligible","2026-09-14","false"
"C08","Cataloxy","national_directory_local_section","P2","https://cherkassy.cataloxy.com.ua/","Cherkasy business directory; permits local services","Додати компанію via Cherkasy home; free basic company page described","https://cherkassy.cataloxy.com.ua/","indexed_primary","PROSPECT_RECHECK_ACCESS_AND_DUPLICATES","","Primary indexed landing explains company contacts/address/site/photos and free addition; direct fetch timed out; final cleaning category not inspected","Confirm site access and cleaning category; search existing Formula record; use basic factual company profile only","2026-09-14","false"
"C09","Flagma","business_marketplace_profile","P2","https://flagma.ua/uk/companies/cherkassy/","Cherkasy businesses; services section includes cleaning providers in regional indexed results","Додати компанію opens login/registration","https://flagma.ua/uk/login","web_open_primary_and_indexed_category","PROSPECT_DUPLICATE_CHECK_REQUIRED","","Cherkasy company directory and login opened; services regional evidence lists cleaning service providers","Search brand/phone; confirm cleaning category and legal business details; prepare company profile through owner account","2026-09-14","false"
"C10","Черкаси.Довідник","local_directory","P1","https://cherkasy.com.ua/","Cherkasy directory explicitly lists Хімчистка and Автомийка categories","Contacts page accepts requests to add or correct organization information","https://cherkasy.com.ua/contacts/","web_open_primary","PROSPECT_DUPLICATE_CHECK_REQUIRED","","Homepage and contacts opened; 19 dry-cleaning entries shown as category count; category click cache miss","Search existing company by brand/phone; request correction if present or one listing in appropriate cleaning category if absent","2026-09-14","false"
"C11","UA-REGION","national_business_directory","P2","https://www.ua-region.com.ua/kved/81.22?start_page=10","Cleaning activity classification; indexed Cherkasy cleaning firm proves regional coverage","Add-enterprises form; free basis or optional paid tiers; later profile corrections supported","https://www.ua-region.com.ua/add-enterprises","indexed_primary_category_and_open_primary_form","PROSPECT_LEGAL_ID_AND_DUPLICATE_CHECK_REQUIRED","","Official add page opens; KVED category indexed; no Formula legal identity inferred from unrelated namesake entities","Confirm correct legal entity/sole trader details with owner; search phone/name; choose actual activity and free basic profile if suitable","2026-09-14","false"
"C12","ВІДІДО.ІНФО","local_directory","P2","https://cherkasy.vidido.info/uk/dovidnyk/himchystky/","Cherkasy dedicated cleaning/dry-cleaning/disinfection category","ДОДАТИ on category; destination not resolved","https://cherkasy.vidido.info/uk/dovidnyk/himchystky/","indexed_primary","PROSPECT_RECHECK_ACCESS_AND_DUPLICATES","","Primary indexed category confirms region/category and add CTA; direct fetch returned 403; directory says local content is being prepared","Check usable form and moderation/terms manually; inspect duplicates; do not count sparse directory as acquired authority","2026-09-14","false"
"C13","UA-Pro","service_marketplace_profile","P2","https://ua-pro.com/services/c/cleaning","Cleaning category names apartments/offices/windows/furniture and has Cherkasy city link","Зареєструвати бізнес vendor form","https://ua-pro.com/vendor/register","web_open_primary","PROSPECT_OWNER_OPERATIONAL_FIT_REQUIRED","","Category and vendor registration opened; service and business booking profile described; no Formula account created","Check duplicate/account and whether owner can maintain bookings and prices; register only with accurate service availability","2026-09-14","false"
"C14","Allbiz","business_marketplace_profile","P2","https://ua.all.biz/uborka-chistka-domov-bsg3086","House-cleaning category includes Cherkasy region/filter in indexed primary page","Official help: registration email verification; choose Company; moderated company profile","https://help.all.biz/uk/profile-allbiz-yak-zareestruvaty-kompaniyu-na-allbiz-ans290","indexed_primary_category_and_open_official_help","PROSPECT_DUPLICATE_CHECK_REQUIRED","","Category fetch cache miss; official registration help opens and covers company/service/location workflow","Check existing company/account; prepare local-only services and NAP; avoid claiming export or industrial capability without facts","2026-09-14","false"
"C15","Kompass","b2b_business_directory","P2","https://us.kompass.com/z/ua/a/industrial-cleaning-services-by-type-of-premises-and-equipment/24810/r/cherkasy-region/ua_ua71/","Cherkasy Region industrial-cleaning directory; relevant to verified commercial/industrial services only","Ukrainian Kompass has Додати компанію БЕЗКОШТОВНО and info@kompass.ua support","https://ua.solutions.kompass.com/","indexed_primary_category_and_open_official_ukraine_site","PROSPECT_LEGAL_ID_AND_SERVICE_FIT_REQUIRED","","Regional category indexed; Ukrainian platform opens and links Cherkasy region plus free company addition","Confirm legal identity and actual B2B service scope; inspect duplicate; prepare factual service-company listing","2026-09-14","false"
"C16","Rabotniki.UA","contractor_marketplace_profile","P2","https://www.rabotniki.ua/uk/uborka-himchistka/cherkassy","Cherkasy cleaning/after-repair/window/furniture contractor categories; company/crew profiles supported","Free contractor page registration documented in platform FAQ","https://www.rabotniki.ua/signup","web_open_primary","PROSPECT_OWNER_OPERATIONAL_FIT_REQUIRED","","Category, FAQ and signup opened; FAQ allows own page with prices/work photos; paid visibility is separate","Inspect existing profile; owner decides marketplace operation; list only verified services and photos; no tender messages in this run","2026-09-14","false"
"C17","Kabanchik.ua","contractor_marketplace_profile","P2","https://kabanchik.ua/ua/cherkasy/category/klininhovi-posluhy","Dedicated Cherkasy cleaning category with local districts","Стати фахівцем registration workflow","https://kabanchik.ua/ua/registration/performer","web_open_primary","PROSPECT_OWNER_IDENTITY_AND_OPERATIONAL_FIT_REQUIRED","","Category and registration opened; identity verification is part of contractor workflow; not a simple passive directory","Check existing company/performer account; confirm owner operational fit and actual verifier identity before account creation","2026-09-14","false"
"C18","top.cherkasy.ua","local_curated_directory","P2","https://top.cherkasy.ua/","Cherkasy local companies; homepage explicitly lists Хімчистка салону","Contact editorial operator to add company or propose partnership","https://top.cherkasy.ua/contacts/","web_open_primary_home","PROSPECT_EDITORIAL_ACCEPTANCE_REQUIRED","","Homepage opens with car-interior cleaning service and add-company invitation; contacts destination was cache miss","Review relevant existing company list and contact form access; propose accurate auto-interior cleaning profile; placement/rank not promised","2026-09-14","false"
