"Query","Primary URL","Competing URLs","Severity","Fix"
"клінінг Черкаси","/","/poslugy; /prices","P1","Головну лишити brand/general primary; /poslugy — тільки каталог, /prices — тільки прайс"
"прибирання квартир Черкаси","/prybyrannya-kvartyr-cherkasy","/; /generalne-prybyrannya-kvartyry-cherkasy; /pidtrymuyuche-prybyrannya-kvartyr-cherkasy","P1","Нейтральний квартирний hero; вузькі формати ведуть на окремі landing pages"
"генеральне прибирання Черкаси","/generalne-prybyrannya-cherkasy","/generalne-prybyrannya-kvartyry-cherkasy; /generalne-prybyrannya-kuhni-cherkasy","P1","Загальна сторінка — приміщення; квартира й кухня — вузькі intents; моніторити GSC mapping"
"генеральне прибирання квартири Черкаси","/generalne-prybyrannya-kvartyry-cherkasy","/generalne-prybyrannya-cherkasy; /prybyrannya-kvartyr-cherkasy","P1","Зберегти apartment-specific Title/H1 та взаємну контекстну перелінковку"
"генеральне прибирання кухні Черкаси","/generalne-prybyrannya-kuhni-cherkasy","/generalne-prybyrannya-cherkasy","P2","Зберегти окремий kitchen scope і FAQ"
"підтримуюче прибирання Черкаси","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/prybyrannya-kvartyr-cherkasy; /prices","P1","Landing primary; на квартирній лише формат і короткий ціновий орієнтир"
"прибирання після ремонту Черкаси","/prybyrannya-pislya-remontu-cherkasy","/poslugy; /; інформаційні статті після ремонту","P1","Спеціалізований hero, кейс і фото; статті ведуть на landing"
"хімчистка меблів Черкаси","/himchystka-mebliv-cherkasy","/himchystka-dyvana-cherkasy; /himchystka-matratsa-cherkasy; /himchystka-krisel-cherkasy","P1","Меблі — hub; предметні сторінки — вузькі intents"
"хімчистка дивана Черкаси","/himchystka-dyvana-cherkasy","/himchystka-mebliv-cherkasy","P1","Зберегти sofa-specific ціни, фото, FAQ та анкори"
"хімчистка матраца Черкаси","/himchystka-matratsa-cherkasy","/himchystka-mebliv-cherkasy; /blog/himchystka-matratsa-koly-potribna","P1","Стаття informational і веде на комерційну landing"
"хімчистка килимів Черкаси","/himchystka-kylymiv-cherkasy","/himchystka-kovrolinu-cherkasy","P2","Розділяти мобільні килими та стаціонарний ковролін"
"чистка ковроліну Черкаси","/himchystka-kovrolinu-cherkasy","/himchystka-kylymiv-cherkasy","P2","Зберегти floor-covering scope і тариф за м²"
"хімчистка авто Черкаси","/himchystka-avto-cherkasy","/himchystka-mebliv-cherkasy","P2","Auto-specific склад робіт, ціни та реальні фото боксу"
"миття вікон Черкаси","/myttya-vikon-cherkasy","/myttya-fasadiv-cherkasy","P1","Старі комбіновані facade URL направляти на фасади; вікна лишити окремо"
"миття фасадів Черкаси","/myttya-fasadiv-cherkasy","/myttya-vikon-cherkasy","P1","Facade-specific Title/H1/ціни; перевірений 301 старих комбінованих URL"
"прибирання офісів Черкаси","/prybyrannya-ofisiv-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy; /rehulyarne-prybyrannya-biznesu-cherkasy","P2","Офіси — тип об’єкта; commercial — hub; regular — модель обслуговування"
"комерційний клінінг Черкаси","/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-ofisiv-cherkasy; /rehulyarne-prybyrannya-biznesu-cherkasy; B2B vertical pages","P2","Commercial hub передає вагу вузьким B2B landing pages"
"прибирання магазинів і супермаркетів Черкаси","/prybyrannya-mahazyniv-supermarketiv-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy; legacy /prybyrannya-trts-supermarketiv-cherkasy","P1","Legacy URL уже 301; primary — об’єднана релевантна landing"
"прибирання ресторанів і кафе Черкаси","/prybyrannya-restoraniv-kafe-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","P2","Зберегти HoReCa-specific санітарні зони й процес"
"прибирання складів Черкаси","/prybyrannya-skladiv-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy; /prybyrannya-vyrobnychykh-prymishchen-cherkasy","P2","Зберегти складський intent"
"прибирання виробничих приміщень Черкаси","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","P2","Зберегти виробничі ризики й обладнання"
"прибирання медичних приміщень Черкаси","/prybyrannya-medychnykh-tsentriv-cherkasy","/dezinfektsiya-prymishchen-cherkasy; /prybyrannya-komertsiynykh-prymishchen-cherkasy","P2","Не обіцяти медичні сертифікати; відділити регулярний клінінг від дезінфекції"
"прибирання після пожежі Черкаси","/prybyrannya-pislya-pozhezhi-cherkasy","/dezinfektsiya-prymishchen-cherkasy","P2","Fire-specific забруднення й оцінка об’єкта"
"прибирання після потопу Черкаси","/prybyrannya-pislya-potopu-cherkasy","/dezinfektsiya-prymishchen-cherkasy","P2","Flood-specific волога/бруд; не змішувати з дезінфекцією"
"дезінфекція Черкаси","/dezinfektsiya-prymishchen-cherkasy","/prybyrannya-pislya-potopu-cherkasy; /prybyrannya-pislya-pozhezhi-cherkasy","P1","Зберегти окрему сторінку, озонацію і special-case scope"
"ціни на клінінг Черкаси","/prices","/; /prybyrannya-kvartyr-cherkasy","P1","Прайс — primary для ціни; назви рядків ведуть на послуги"
"клінінгові послуги Черкаси","/poslugy","/","P2","Каталог навігаційний; головна primary для загального брендовo-комерційного intent"
