"Cluster","Primary URL","Primary queries","Supporting queries","Role","Notes"
"Клінінг Черкаси","/","клінінг Черкаси; клінінгова компанія Черкаси","професійний клінінг Черкаси; клінінгові послуги Черкаси","Головна комерційна сторінка бренду","Не використовувати як primary для окремих послуг"
"Каталог послуг","/poslugy","клінінгові послуги Черкаси","послуги клінінгової компанії","Навігаційний каталог","Короткі картки без дублювання landing pages"
"Ціни","/prices","ціни на клінінг Черкаси; клінінг Черкаси ціна","вартість прибирання Черкаси; прайс клінінгової компанії","Прайс-хаб","Назви тарифів ведуть на відповідні послуги"
"Прибирання квартир","/prybyrannya-kvartyr-cherkasy","прибирання квартир Черкаси; клінінг квартир Черкаси","професійне прибирання квартири; замовити прибирання квартири","Житловий хаб","Підтримуюче, генеральне й після ремонту мають окремі вузькі сторінки"
"Підтримуюче прибирання","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","підтримуюче прибирання Черкаси","регулярне прибирання квартири","Вузька послуга","Не конкурує з квартирним хабом"
"Генеральне прибирання приміщень","/generalne-prybyrannya-cherkasy","генеральне прибирання Черкаси; генеральний клінінг Черкаси","генеральне прибирання приміщень","Широка послуга","Квартира й кухня мають власні сторінки"
"Генеральне прибирання квартири","/generalne-prybyrannya-kvartyry-cherkasy","генеральне прибирання квартири Черкаси","глибоке прибирання квартири","Вузька житлова послуга","Моніторити mapping із загальною генеральною сторінкою"
"Генеральне прибирання кухні","/generalne-prybyrannya-kuhni-cherkasy","генеральне прибирання кухні Черкаси","очищення кухні від жиру","Вузька послуга","Kitchen-specific scope і FAQ"
"Після ремонту","/prybyrannya-pislya-remontu-cherkasy","прибирання після ремонту Черкаси; післябудівельне прибирання Черкаси","клінінг після будівництва; прибирання після будівництва","Спеціалізована landing page","Підсилена реальним кейсом і фото"
"Хімчистка меблів","/himchystka-mebliv-cherkasy","хімчистка меблів Черкаси; хімчистка м'яких меблів Черкаси","чистка м'яких меблів Черкаси","Хаб хімчистки","Предметні сторінки закривають вузькі intents"
"Хімчистка дивана","/himchystka-dyvana-cherkasy","хімчистка дивана Черкаси","чистка дивана; хімчистка кутового дивана","Вузька послуга","Не оптимізувати primarily під меблі"
"Хімчистка матраца","/himchystka-matratsa-cherkasy","хімчистка матраца Черкаси","чистка матраца Черкаси","Вузька послуга","Стаття має informational intent"
"Хімчистка килимів","/himchystka-kylymiv-cherkasy","хімчистка килимів Черкаси","чистка килимів; хімчистка доріжок","Вузька послуга","Відділяти від стаціонарного ковроліну"
"Хімчистка ковроліну","/himchystka-kovrolinu-cherkasy","чистка ковроліну Черкаси","хімчистка ковроліну за м²","Вузька B2C/B2B послуга","Floor-covering scope"
"Хімчистка авто","/himchystka-avto-cherkasy","хімчистка авто Черкаси","хімчистка салону авто Черкаси","Вузька послуга","Реальні фото боксу й обладнання"
"Миття вікон","/myttya-vikon-cherkasy","миття вікон Черкаси","професійне миття вікон; мийка вікон","Вузька послуга","Не змішувати з фасадами"
"Миття фасадів","/myttya-fasadiv-cherkasy","миття фасадів Черкаси","чистка фасадів Черкаси","Вузька зовнішня послуга","Старі комбіновані URL ведуть сюди"
"Миття плитки","/myttya-plytky-cherkasy","миття тротуарної плитки Черкаси","мийка плитки високим тиском","Вузька зовнішня послуга","Тариф залежить від площі"
"Комерційний клінінг","/prybyrannya-komertsiynykh-prymishchen-cherkasy","прибирання комерційних приміщень Черкаси; комерційний клінінг Черкаси","клінінг для бізнесу","B2B хаб","Передає вагу вертикальним B2B pages"
"Прибирання офісів","/prybyrannya-ofisiv-cherkasy","прибирання офісів Черкаси","клінінг офісів; прибирання офісних приміщень","B2B vertical","Тип об'єкта, не модель обслуговування"
"Регулярний B2B клінінг","/rehulyarne-prybyrannya-biznesu-cherkasy","регулярне прибирання бізнесу Черкаси","абонентський клінінг для бізнесу","B2B service model","Відділяти від офісного intent"
"Магазини й супермаркети","/prybyrannya-mahazyniv-supermarketiv-cherkasy","прибирання магазинів Черкаси; прибирання супермаркетів Черкаси","клінінг торгових залів","B2B vertical","Legacy ТРЦ URL має 301"
"Ресторани й кафе","/prybyrannya-restoraniv-kafe-cherkasy","прибирання ресторанів Черкаси; прибирання кафе Черкаси","клінінг HoReCa","B2B vertical","Санітарні й кухонні зони"
"Склади","/prybyrannya-skladiv-cherkasy","прибирання складів Черкаси","клінінг складських приміщень","B2B vertical","Не змішувати з виробництвом"
"Виробництва","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","прибирання виробничих приміщень Черкаси","промисловий клінінг Черкаси","B2B vertical","Унікальні ризики та обладнання"
"Медичні центри","/prybyrannya-medychnykh-tsentriv-cherkasy","прибирання медичних центрів Черкаси","клінінг медичних приміщень","B2B vertical","Не заявляти непідтверджених сертифікатів"
"Після пожежі","/prybyrannya-pislya-pozhezhi-cherkasy","прибирання після пожежі Черкаси","очищення кіптяви та гару","Складне прибирання","Не змішувати з дезінфекцією"
"Після потопу","/prybyrannya-pislya-potopu-cherkasy","прибирання після потопу Черкаси","прибирання після затоплення","Складне прибирання","Flood-specific intent"
"Дезінфекція","/dezinfektsiya-prymishchen-cherkasy","дезінфекція Черкаси","озонація; прибирання після трупу","Спеціалізована послуга","Не підміняти сторінками пожежі або потопу"
