"URL","Intent","HTTP","Indexable","Canonical","Sitemap","H1","Incoming links","Legacy","Title","H1 count"
"/","Клінінг Черкаси / клінінгова компанія","200 (production build)","Так","https://www.formula-chistoty.ck.ua","Так","Професійний клінінг у Черкасах","61","Ні","Клінінг у Черкасах — ціни від 55 грн/м² | Формула Чистоти","1"
"/poslugy","Каталог клінінгових послуг","200 (production build)","Так","https://www.formula-chistoty.ck.ua/poslugy","Так","Клінінгові послуги у Черкасах","61","Ні","Клінінгові послуги у Черкасах | Формула Чистоти","1"
"/prices","Ціни на клінінг у Черкасах","200 (production build)","Так","https://www.formula-chistoty.ck.ua/prices","Так","Ціни на клінінг у Черкасах 2026","61","Ні","Ціни на клінінг у Черкасах 2026 — Формула Чистоти","1"
"/nashi-roboty","Портфоліо реальних робіт","200 (production build)","Так","https://www.formula-chistoty.ck.ua/nashi-roboty","Так","Наші роботи з прибирання у Черкасах","61","Ні","Наші роботи з прибирання у Черкасах | Формула Чистоти","1"
"/vidguky","Відгуки клієнтів","200 (production build)","Так","https://www.formula-chistoty.ck.ua/vidguky","Так","Відгуки клієнтів про Формулу Чистоти","61","Ні","Відгуки клієнтів про Формула Чистоти | Черкаси","1"
"/blog","Інформаційний блог-хаб","200 (production build)","Так","https://www.formula-chistoty.ck.ua/blog","Так","Блог про прибирання, клінінг та чистоту","61","Ні","Блог про прибирання, клінінг та чистоту | Формула Чистоти","1"
"/pro-nas","Про компанію / довіра","200 (production build)","Так","https://www.formula-chistoty.ck.ua/pro-nas","Так","Про компанію Формула Чистоти","61","Ні","Про компанію Формула Чистоти — клінінг у Черкасах","1"
"/kontakty","Контакти / локальний намір","200 (production build)","Так","https://www.formula-chistoty.ck.ua/kontakty","Так","Контакти клінінгової компанії Формула Чистоти у Черкасах","61","Ні","Контакти клінінгової компанії Формула Чистоти у Черкасах","1"
"/prybyrannya-kvartyr-cherkasy","Прибирання квартир Черкаси","200 (production build)","Так","https://www.formula-chistoty.ck.ua/prybyrannya-kvartyr-cherkasy","Так","Прибирання квартир у Черкасах","61","Ні","Прибирання квартир у Черкасах — ціни від 55 грн/м² | Формула Чистоти","1"
"/generalne-prybyrannya-cherkasy","Генеральне прибирання приміщень Черкаси","200 (production build)","Так","https://www.formula-chistoty.ck.ua/generalne-prybyrannya-cherkasy","Так","Генеральне прибирання приміщень у Черкасах","61","Ні","Генеральне прибирання приміщень у Черкасах | Формула Чистоти","1"
